sku,listingId,donor,rule,engine,n_vehicles,sources,models,action,reason
4267,407104489409,,,,,,,skip,category 179679 never renders fitment on eBay
4268,407104489758,,,,,,,skip,category 179679 never renders fitment on eBay
4266,407104489762,,,,,,,skip,category 179679 never renders fitment on eBay
2185,407104493165,,,,,,,skip,category 33643 never renders fitment on eBay
60567,407106358275,,,,,,,skip,category 107062 never renders fitment on eBay
4765,407075103656,,,,,,,skip,category 107062 never renders fitment on eBay
2640,407050375545,,,,,,,skip,category 107062 never renders fitment on eBay
53961,407087005375,,,,,,,skip,category 107062 never renders fitment on eBay
1619,407029316531,,,,,,,skip,category 107062 never renders fitment on eBay
53602,407087145598,,,,,,,skip,category 107062 never renders fitment on eBay
53482,407087040945,,,,,,,skip,category 107062 never renders fitment on eBay
229,407003106520,,,,,,,skip,category 107062 never renders fitment on eBay
4599,407106492685,,,,,,,skip,category 169395 never renders fitment on eBay
61956,407079742549,,,,,,,skip,category 107062 never renders fitment on eBay
63214,407108866902,,,,,,,skip,category 33643 never renders fitment on eBay
63066,407106437300,,,,,,,skip,category 107062 never renders fitment on eBay
63010,407104745567,,,,,,,skip,category 107062 never renders fitment on eBay
60799,407080510260,,,,,,,skip,category 107062 never renders fitment on eBay
60798,407080510317,,,,,,,skip,category 107062 never renders fitment on eBay
6558,407049937896,,,,,,,skip,category 107062 never renders fitment on eBay
4916,407028970893,,,,,,,skip,category 107062 never renders fitment on eBay
63367,407111104906,,,,,,,skip,category 33643 never renders fitment on eBay
5665,407009099952,,,,,,,skip,category 169395 never renders fitment on eBay
3281,407114980360,,,,,,,skip,category 179671 never renders fitment on eBay
5282,407024969063,,,,,,,skip,category 179679 never renders fitment on eBay
4641,407117248980,,,,,,,skip,category 107062 never renders fitment on eBay
6565,407117812492,,,,,,,skip,category 174119 never renders fitment on eBay
3839,407120398917,,,,,,,skip,category 107062 never renders fitment on eBay
3863,407120400275,,,,,,,skip,category 33643 never renders fitment on eBay
4825,407020763350,,,,,,,skip,category 179679 never renders fitment on eBay
63624,407120520610,,,,,,,skip,category 33643 never renders fitment on eBay
